item_id,material,share
de2273d979dc,linen,0.55
de2273d979dc,viscose,0.45
4776a46c2d94,cotton,0.93
4776a46c2d94,elastane,0.07
eda7911713d8,viscose,0.333333
eda7911713d8,nylon,0.333333
eda7911713d8,polyester,0.333333
dc29a19a4eae,polyester,1.0
1287676c86b7,viscose,0.88
1287676c86b7,polyester,0.12
79a21a70ceec,viscose,1.0
c1bfdb6f0062,cotton,1.0
54a40d7c8886,cotton,1.0
1e18930ee0ba,cotton,0.65
1e18930ee0ba,nylon,0.29
1e18930ee0ba,elastane,0.06
429ce8313c82,viscose,0.94
429ce8313c82,nylon,0.06
2d85053ee00a,viscose,0.83
2d85053ee00a,polyester,0.17
9772be9aa989,linen,1.0
224bf0535123,cotton,1.0
947f870f1863,cotton,0.98
947f870f1863,elastane,0.02
8a6f7d6436ac,viscose,0.87
8a6f7d6436ac,polyester,0.13
bc6f10f4a7c3,viscose,0.75
bc6f10f4a7c3,linen,0.25
0fc6d5b67952,polyester,0.6
0fc6d5b67952,cotton,0.4
30eb31b9dd69,cotton,0.79
30eb31b9dd69,nylon,0.12
30eb31b9dd69,polyester,0.09
1835f03e7141,viscose,0.83
1835f03e7141,polyester,0.17
82bc063ad14b,cotton,0.29
82bc063ad14b,viscose,0.7
82bc063ad14b,nylon,0.005
82bc063ad14b,other,0.005
9f40be450e53,linen,0.67
9f40be450e53,viscose,0.33
f26516bcc4cd,viscose,0.86
f26516bcc4cd,polyester,0.14
ab9b8ba2df1d,linen,0.55
ab9b8ba2df1d,viscose,0.45
a9043701fcdc,viscose,0.67
a9043701fcdc,linen,0.31
a9043701fcdc,other,0.02
e3bf122c1767,cotton,1.0
6e9b6cc9e238,linen,0.335
6e9b6cc9e238,viscose,0.665
45dc5981d9cd,viscose,0.67
45dc5981d9cd,linen,0.31
45dc5981d9cd,other,0.02
e4dbcd16b0a5,cotton,1.0
496c9fdd2632,viscose,0.87
496c9fdd2632,nylon,0.13
ca4d0a8c0b4e,linen,1.0
6f742676392b,viscose,0.75
6f742676392b,linen,0.25
4784c627ef2c,denim,1.0
bde840e6f18e,viscose,1.0
a61293ceb47e,cotton,1.0
824c9b17b0f4,polyester,0.4
824c9b17b0f4,technical,0.6
7cae0abe5166,technical,1.0
54df7f75e9be,cotton,1.0
be93263de1b9,viscose,0.375
be93263de1b9,nylon,0.125
be93263de1b9,polyester,0.5
70e8c44c6ea0,viscose,0.82
70e8c44c6ea0,polyester,0.18
09844c905e31,cotton,1.0
a6b086a603dd,cotton,1.0
d78882aac69f,linen,1.0
8e4c47e495ef,polyester,0.5
8e4c47e495ef,technical,0.5
4c1953087920,linen,1.0
df8a51998450,cotton,0.97
df8a51998450,elastane,0.03
057ac70b9228,polyester,1.0
e9428b79c392,linen,1.0
7235ed965ebf,linen,0.5
