item_id,retailer,ticker,product_name,category,url,first_seen,composition_raw,price,currency,source
447048199fa8,asos,ASC.L,Vila | Vila Slouchy Knit Dress,archive,http://www.asos.com:80/us/vila/vila-slouchy-knit-dress/prd/7031154?,2016-10-15,"80% other, 20% nylon",,,wayback
5ddcccd3ddfb,asos,ASC.L,River Island | River Island MA1 Bomber Jacket In Black,archive,http://www.asos.com:80/us/river-island/river-island-ma1-bomber-jacket-in-black/prd/6657983?,2016-10-20,"100% nylon, 100% polyester",,,wayback
328e1c16d9fe,asos,ASC.L,River Island | River Island Padded MA1 Bomber In Khaki,archive,http://www.asos.com:80/us/river-island/river-island-padded-ma1-bomber-in-khaki/prd/7181978?,2016-12-17,"100% nylon, 100% polyester",,,wayback
1f9b7ceeda46,asos,ASC.L,uStudio | Hubba Hubba Valentines Card,archive,http://www.asos.com:80/ustudio/hubba-hubba-valentines-card/prd/7550294?,2016-12-20,,,,wayback
52c7bc7b92ce,asos,ASC.L,uStudio | So Horny Valentines Card,archive,http://www.asos.com:80/ustudio/so-horny-valentines-card/prd/7550381?,2016-12-20,,,,wayback
0b5a13495e6d,asos,ASC.L,uStudio | Olive You This Much Valentines Card,archive,http://www.asos.com:80/ustudio/olive-you-this-much-valentines-card/prd/7550296?,2016-12-27,,,,wayback
302de7914695,asos,ASC.L,uStudio | You're Purrfect Valentines Card,archive,http://www.asos.com:80/ustudio/youre-purrfect-valentines-card/prd/7550365?,2017-01-02,,,,wayback
c25bb9e22cca,asos,ASC.L,uStudio | I Love You From My Head Tomatoes Valentines Card,archive,http://www.asos.com:80/ustudio/i-love-you-from-my-head-tomatoes-valentines-card/prd/7825893?,2017-01-28,,,,wayback
ff9d85bd147d,asos,ASC.L,uStudio | UStudio Cats Patch,archive,http://www.asos.com:80/ustudio/ustudio-cats-patch/prd/7709033?,2017-02-05,100% cotton,,,wayback
423b2bffc26c,asos,ASC.L,ASOS Petite,archive,http://www.asos.com:80/us/asos-petite/asos-petite-fluffy-cloud-robe-with-ears/prd/6473118?,2017-02-05,100% polyester,,,wayback
d4482f010e8c,asos,ASC.L,uStudio | UStudio Lemon Pin,archive,http://www.asos.com:80/ustudio/ustudio-lemon-pin/prd/7709041?,2017-02-19,,,,wayback
8ff55231c6f4,asos,ASC.L,uStudio | UStudio Cat Pin,archive,http://www.asos.com:80/ustudio/ustudio-cat-pin/prd/7709116?,2017-02-19,,,,wayback
60b302340a50,asos,ASC.L,uStudio | UStudio Unicorn Pin,archive,http://www.asos.com:80/ustudio/ustudio-unicorn-pin/prd/7709035?,2017-02-25,,,,wayback
2baf7f28043f,asos,ASC.L,uStudio | UStudio Pinky Promise Patch,archive,http://www.asos.com:80/ustudio/ustudio-pinky-promise-patch/prd/7709027?,2017-02-26,100% cotton,,,wayback
e7c555dd2736,asos,ASC.L,Minimale Animale | Minimale Animale High Leg Rib Swimsuit,archive,http://www.asos.com/us/minimale-animale/minimale-animale-high-leg-rib-swimsuit/prd/7383502,2017-02-28,"8% elastane, 92% viscose",,,wayback
cea1300dcfef,asos,ASC.L,uStudio | UStudio Love Heart Pin,archive,http://www.asos.com:80/ustudio/ustudio-love-heart-pin/prd/7709028?iid=7709028&clr=Multi&cid=20235,2017-03-10,,,,wayback
8064c19d668b,asos,ASC.L,uStudio | UStudio Eye Patch,archive,http://www.asos.com:80/ustudio/ustudio-eye-patch/prd/7709024?iid=7709024&clr=Multi&cid=20235,2017-03-10,100% cotton,,,wayback
f5242b7a1f7c,asos,ASC.L,uStudio | UStudio Lemon Pin,archive,http://www.asos.com:80/ustudio/ustudio-lemon-pin/prd/7709041?iid=7709041&clr=Multi&cid=20235,2017-03-10,,,,wayback
b178f3cffdfb,asos,ASC.L,uStudio | UStudio Kiss Off Patch,archive,http://www.asos.com:80/ustudio/ustudio-kiss-off-patch/prd/7709029?iid=7709029&clr=Multi&cid=20235,2017-03-10,100% cotton,,,wayback
5cb1b81463b5,asos,ASC.L,uStudio | UStudio Donut Patch,archive,http://www.asos.com:80/ustudio/ustudio-donut-patch/prd/7709034?iid=7709034&clr=Multi&cid=20235,2017-03-10,100% cotton,,,wayback
7671d6f2ca01,asos,ASC.L,uStudio | UStudio Blah Patch,archive,http://www.asos.com:80/ustudio/ustudio-blah-patch/prd/7709023?iid=7709023&clr=Multi&cid=20235,2017-03-10,100% cotton,,,wayback
2d8340bcf1d5,asos,ASC.L,uStudio | UStudio Cat Pin,archive,http://www.asos.com:80/ustudio/ustudio-cat-pin/prd/7709116?iid=7709116&clr=Multi&cid=20235,2017-03-10,,,,wayback
d484df19e63c,asos,ASC.L,uStudio | UStudio Sunny Side Up Pin,archive,http://www.asos.com:80/ustudio/ustudio-sunny-side-up-pin/prd/7709102?iid=7709102&clr=Multi&cid=20235,2017-03-10,,,,wayback
267140e218a2,asos,ASC.L,uStudio | UStudio Cats Patch,archive,http://www.asos.com:80/ustudio/ustudio-cats-patch/prd/7709033?iid=7709033&clr=Multi&cid=13454,2017-03-12,100% cotton,,,wayback
f4e908238647,asos,ASC.L,uStudio | UStudio Love Heart Pin,archive,http://www.asos.com:80/ustudio/ustudio-love-heart-pin/prd/7709028?,2017-03-13,,,,wayback
35fe5db97376,asos,ASC.L,uStudio | UStudio Blah Patch,archive,http://www.asos.com:80/ustudio/ustudio-blah-patch/prd/7709023?iid=7709023&clr=Multi&cid=13454,2017-03-13,100% cotton,,,wayback
71d857aadbd4,asos,ASC.L,uStudio | UStudio Kiss Off Patch,archive,http://www.asos.com:80/ustudio/ustudio-kiss-off-patch/prd/7709029?iid=7709029&clr=Multi&cid=13454,2017-03-13,100% cotton,,,wayback
1cd0c204ea07,asos,ASC.L,uStudio | Hubba Hubba Card,archive,http://www.asos.com/ustudio/hubba-hubba-card/prd/7550294?iid=7550294&clr=Multi&cid=16095,2017-03-25,,,,wayback
9f52b03a6238,asos,ASC.L,Jessica Wright | Jessica Wright Dip Hem Floral Midi Skirt,archive,http://www.asos.com:80/us/jessica-wright/jessica-wright-dip-hem-floral-midi-skirt/prd/7664339?,2017-03-27,100% polyester,,,wayback
eb7423da1247,asos,ASC.L,Little Mistress Petite | Little Mistress Petite Short Sleeve Lace Bodice Mini Dress With Tulle Skirt,archive,http://www.asos.com:80/us/little-mistress-petite/little-mistress-petite-short-sleeve-lace-bodice-mini-dress-with-tulle-skirt/prd/6904377?,2017-04-01,"100% polyester, 100% nylon, 3% elastane",,,wayback
ec6c6f57d3d2,asos,ASC.L,uStudio | UStudio Sunny Side Up Pin,archive,http://www.asos.com:80/ustudio/ustudio-sunny-side-up-pin/prd/7709102?,2017-04-04,,,,wayback
ecfd809dc64e,asos,ASC.L,ASOS,archive,http://www.asos.com:80/us/asos/asos-beaded-bracelet-pack-in-brown/prd/6175603?,2017-04-09,30% other,,,wayback
a72f09655951,asos,ASC.L,ASOS,archive,http://www.asos.com:80/us/asos/asos-blouson-strappy-pleated-velvet-maxi-dress/prd/7086650,2017-04-16,"90% polyester, 10% elastane",,,wayback
19163d0b31e7,asos,ASC.L,ASOS Maternity,archive,http://www.asos.com/us/asos-maternity/asos-maternity-t-shirt-in-carnival-stripe/prd/7756110?iid=7756110&clr=Multi&SearchQuery=Maternity&pgesize=50&pge=2&totalstyles=1748&gridsize=2&gridrow=23&gridcolumn=1,2017-04-20,100% polyester,,,wayback
8a083e761f08,asos,ASC.L,uStudio | 3D Movie Night Card,archive,http://www.asos.com:80/ustudio/3d-movie-night-card/prd/6978543?,2017-04-25,,,,wayback
2df766c777e6,asos,ASC.L,uStudio | Start A Band A5 Notebook,archive,http://www.asos.com:80/ustudio/start-a-band-a5-notebook/prd/7930037?,2017-04-27,,,,wayback
e57497503773,asos,ASC.L,uStudio | UStudio Kiss Off Patch,archive,http://www.asos.com:80/ustudio/ustudio-kiss-off-patch/prd/7709029?,2017-05-07,100% cotton,,,wayback
