look_id,category
alexander-mcqueen|FW2015|001,outerwear
alexander-mcqueen|FW2015|002,outerwear
alexander-mcqueen|FW2015|003,outerwear
alexander-mcqueen|FW2015|004,dress
alexander-mcqueen|FW2015|005,dress
alexander-mcqueen|FW2015|006,outerwear
alexander-mcqueen|FW2015|007,outerwear
alexander-mcqueen|FW2015|008,outerwear
alexander-mcqueen|FW2015|009,shoes
alexander-mcqueen|FW2015|010,outerwear
alexander-mcqueen|FW2015|011,outerwear
alexander-mcqueen|FW2015|012,skirt
alexander-mcqueen|FW2015|013,shoes
alexander-mcqueen|FW2015|014,outerwear
alexander-mcqueen|FW2015|015,outerwear
alexander-mcqueen|FW2015|016,top
alexander-mcqueen|FW2015|017,top
alexander-mcqueen|FW2015|018,top
alexander-mcqueen|FW2015|019,outerwear
alexander-mcqueen|FW2015|020,outerwear
alexander-mcqueen|FW2015|021,outerwear
alexander-mcqueen|FW2015|022,knitwear
alexander-mcqueen|FW2015|023,dress
alexander-mcqueen|FW2015|024,tailoring
alexander-mcqueen|FW2015|025,outerwear
alexander-mcqueen|FW2015|026,tailoring
alexander-mcqueen|FW2015|027,outerwear
alexander-mcqueen|FW2015|028,tailoring
alexander-mcqueen|FW2015|029,dress
alexander-mcqueen|FW2015|030,outerwear
alexander-mcqueen|FW2015|031,tailoring
alexander-mcqueen|FW2015|033,outerwear
alexander-mcqueen|FW2015|034,tailoring
alexander-mcqueen|FW2015|035,tailoring
alexander-mcqueen|FW2015|038,dress
alexander-mcqueen|FW2015|039,knitwear
alexander-mcqueen|FW2015|040,dress
alexander-mcqueen|FW2015|041,dress
alexander-mcqueen|FW2015|042,dress
alexander-mcqueen|FW2015|044,dress
alexander-mcqueen|FW2015|046,dress
alexander-mcqueen|FW2015|050,dress
alexander-mcqueen|FW2015|051,dress
alexander-mcqueen|FW2015|052,dress
alexander-mcqueen|FW2015|054,dress
alexander-mcqueen|FW2015|055,dress
alexander-mcqueen|FW2015|057,outerwear
alexander-mcqueen|FW2015|059,dress
alexander-mcqueen|FW2015|060,skirt
alexander-mcqueen|FW2016|001,outerwear
alexander-mcqueen|FW2016|002,tailoring
alexander-mcqueen|FW2016|003,outerwear
alexander-mcqueen|FW2016|005,dress
alexander-mcqueen|FW2016|008,outerwear
alexander-mcqueen|FW2016|010,pants
alexander-mcqueen|FW2016|013,outerwear
alexander-mcqueen|FW2016|015,dress
alexander-mcqueen|FW2016|018,dress
alexander-mcqueen|FW2016|019,dress
alexander-mcqueen|FW2016|021,outerwear
alexander-mcqueen|FW2016|023,outerwear
alexander-mcqueen|FW2016|024,outerwear
alexander-mcqueen|FW2016|025,outerwear
alexander-mcqueen|FW2016|026,dress
alexander-mcqueen|FW2016|031,dress
alexander-mcqueen|FW2016|033,tailoring
alexander-mcqueen|FW2016|034,outerwear
alexander-mcqueen|FW2016|035,tailoring
alexander-mcqueen|FW2016|036,dress
alexander-mcqueen|FW2016|038,tailoring
alexander-mcqueen|FW2016|041,outerwear
alexander-mcqueen|FW2016|043,outerwear
alexander-mcqueen|FW2016|044,dress
alexander-mcqueen|FW2016|045,knitwear
alexander-mcqueen|FW2016|046,dress
alexander-mcqueen|FW2016|047,dress
alexander-mcqueen|FW2016|048,dress
alexander-mcqueen|FW2016|049,dress
alexander-mcqueen|FW2016|050,dress
alexander-mcqueen|FW2016|051,dress
alexander-mcqueen|FW2016|052,dress
alexander-mcqueen|FW2016|053,tailoring
alexander-mcqueen|FW2016|054,tailoring
alexander-mcqueen|FW2016|055,outerwear
alexander-mcqueen|FW2016|056,tailoring
alexander-mcqueen|FW2016|057,outerwear
alexander-mcqueen|FW2016|058,dress
alexander-mcqueen|FW2016|059,dress
alexander-mcqueen|FW2016|060,dress
alexander-mcqueen|FW2017|001,dress
alexander-mcqueen|FW2017|002,tailoring
alexander-mcqueen|FW2017|003,outerwear
alexander-mcqueen|FW2017|004,dress
alexander-mcqueen|FW2017|005,outerwear
alexander-mcqueen|FW2017|006,dress
alexander-mcqueen|FW2017|007,outerwear
