look_id,color,weight
alexander-mcqueen|FW2015|001,black,1.0
alexander-mcqueen|FW2015|002,blue,0.4
alexander-mcqueen|FW2015|002,white,0.6
alexander-mcqueen|FW2015|003,cream,0.1
alexander-mcqueen|FW2015|003,pink,0.3
alexander-mcqueen|FW2015|003,black,0.6
alexander-mcqueen|FW2015|004,white,0.3
alexander-mcqueen|FW2015|004,red,0.7
alexander-mcqueen|FW2015|005,red,0.5
alexander-mcqueen|FW2015|005,beige,0.5
alexander-mcqueen|FW2015|006,beige,1.0
alexander-mcqueen|FW2015|007,black,1.0
alexander-mcqueen|FW2015|008,black,0.95
alexander-mcqueen|FW2015|008,metallic,0.05
alexander-mcqueen|FW2015|009,red,0.15
alexander-mcqueen|FW2015|009,black,0.85
alexander-mcqueen|FW2015|010,black,0.85
alexander-mcqueen|FW2015|010,white,0.15
alexander-mcqueen|FW2015|011,cream,0.1
alexander-mcqueen|FW2015|011,white,0.2
alexander-mcqueen|FW2015|011,black,0.7
alexander-mcqueen|FW2015|012,pink,0.33
alexander-mcqueen|FW2015|012,black,0.67
alexander-mcqueen|FW2015|013,black,1.0
alexander-mcqueen|FW2015|014,white,1.0
alexander-mcqueen|FW2015|015,white,1.0
alexander-mcqueen|FW2015|016,white,1.0
alexander-mcqueen|FW2015|017,white,1.0
alexander-mcqueen|FW2015|018,white,1.0
alexander-mcqueen|FW2015|019,white,1.0
alexander-mcqueen|FW2015|020,beige,1.0
alexander-mcqueen|FW2015|021,white,0.2
alexander-mcqueen|FW2015|021,black,0.8
alexander-mcqueen|FW2015|022,red,0.7
alexander-mcqueen|FW2015|022,white,0.3
alexander-mcqueen|FW2015|023,red,0.5
alexander-mcqueen|FW2015|023,white,0.5
alexander-mcqueen|FW2015|024,beige,0.3
alexander-mcqueen|FW2015|024,cream,0.7
alexander-mcqueen|FW2015|025,beige,1.0
alexander-mcqueen|FW2015|026,grey,0.5
alexander-mcqueen|FW2015|026,black,0.5
alexander-mcqueen|FW2015|027,black,0.3
alexander-mcqueen|FW2015|027,grey,0.7
alexander-mcqueen|FW2015|028,black,0.7
alexander-mcqueen|FW2015|028,white,0.3
alexander-mcqueen|FW2015|029,navy,1.0
alexander-mcqueen|FW2015|030,black,1.0
alexander-mcqueen|FW2015|031,navy,1.0
alexander-mcqueen|FW2015|032,black,0.1
alexander-mcqueen|FW2015|032,grey,0.7
alexander-mcqueen|FW2015|032,red,0.2
alexander-mcqueen|FW2015|033,brown,0.4
alexander-mcqueen|FW2015|033,beige,0.6
alexander-mcqueen|FW2015|034,black,1.0
alexander-mcqueen|FW2015|035,black,0.6
alexander-mcqueen|FW2015|035,white,0.4
alexander-mcqueen|FW2015|036,light-blue,0.2
alexander-mcqueen|FW2015|036,navy,0.5
alexander-mcqueen|FW2015|036,grey,0.3
alexander-mcqueen|FW2015|037,black,1.0
alexander-mcqueen|FW2015|038,red,0.2
alexander-mcqueen|FW2015|038,yellow,0.3
alexander-mcqueen|FW2015|038,brown,0.5
alexander-mcqueen|FW2015|039,brown,0.3
alexander-mcqueen|FW2015|039,yellow,0.4
alexander-mcqueen|FW2015|039,pink,0.3
alexander-mcqueen|FW2015|040,white,0.3
alexander-mcqueen|FW2015|040,blue,0.5
alexander-mcqueen|FW2015|040,orange,0.2
alexander-mcqueen|FW2015|041,white,0.3
alexander-mcqueen|FW2015|041,orange,0.2
alexander-mcqueen|FW2015|041,blue,0.5
alexander-mcqueen|FW2015|042,yellow,0.6
alexander-mcqueen|FW2015|042,white,0.4
alexander-mcqueen|FW2015|043,white,0.3
alexander-mcqueen|FW2015|043,cream,0.1
alexander-mcqueen|FW2015|043,light-blue,0.6
alexander-mcqueen|FW2015|044,white,1.0
alexander-mcqueen|FW2015|045,white,0.4
alexander-mcqueen|FW2015|045,black,0.1
alexander-mcqueen|FW2015|045,navy,0.5
alexander-mcqueen|FW2015|046,white,0.3
alexander-mcqueen|FW2015|046,black,0.5
alexander-mcqueen|FW2015|046,purple,0.2
alexander-mcqueen|FW2015|048,white,0.2
alexander-mcqueen|FW2015|048,purple,0.2
alexander-mcqueen|FW2015|048,blue,0.6
alexander-mcqueen|FW2015|049,black,0.9
alexander-mcqueen|FW2015|049,red,0.1
alexander-mcqueen|FW2015|050,black,1.0
alexander-mcqueen|FW2015|051,black,0.9
alexander-mcqueen|FW2015|051,white,0.1
alexander-mcqueen|FW2015|052,beige,1.0
alexander-mcqueen|FW2015|053,pink,0.95
alexander-mcqueen|FW2015|053,cream,0.05
alexander-mcqueen|FW2015|054,beige,0.6
alexander-mcqueen|FW2015|054,black,0.4
alexander-mcqueen|FW2015|055,beige,0.6
alexander-mcqueen|FW2015|055,black,0.4
alexander-mcqueen|FW2015|056,pink,0.05
alexander-mcqueen|FW2015|056,cream,0.95
alexander-mcqueen|FW2015|057,black,1.0
alexander-mcqueen|FW2015|058,black,0.7
alexander-mcqueen|FW2015|058,cream,0.3
