level,key,season_code,material,share,n_looks,known_date,delta_vs_trail3,is_emergent
brand,alexander-mcqueen,FW2015,cashmere,0.0,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,cotton,0.177966,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,denim,0.018644,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,elastane,0.005932,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,leather,0.181017,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,linen,0.025424,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,nylon,0.00678,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,other,0.034746,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,polyester,0.192712,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,silk,0.059322,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,technical,0.048305,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,viscose,0.111864,59,2015-04-05,,False
brand,alexander-mcqueen,FW2015,wool,0.137288,59,2015-04-05,,False
brand,alexander-mcqueen,FW2016,cashmere,0.0,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,cotton,0.028333,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,denim,0.021667,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,elastane,0.016667,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,leather,0.1725,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,linen,0.0,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,nylon,0.055,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,other,0.015833,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,polyester,0.29,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,silk,0.075,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,technical,0.0,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,viscose,0.106667,60,2016-04-05,,False
brand,alexander-mcqueen,FW2016,wool,0.218333,60,2016-04-05,,False
brand,alexander-mcqueen,FW2017,cashmere,0.0,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,cotton,0.0,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,denim,0.013333,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,elastane,0.076667,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,leather,0.133333,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,linen,0.0,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,nylon,0.088333,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,other,0.005,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,polyester,0.235833,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,silk,0.011667,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,technical,0.0,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,viscose,0.285833,60,2017-04-05,,False
brand,alexander-mcqueen,FW2017,wool,0.15,60,2017-04-05,,False
brand,alexander-mcqueen,FW2018,cashmere,0.0,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,cotton,0.045,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,denim,0.008333,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,elastane,0.058333,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,leather,0.134167,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,linen,0.0,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,nylon,0.05,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,other,0.006667,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,polyester,0.221667,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,silk,0.065,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,technical,0.011667,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,viscose,0.116667,60,2018-04-05,,False
brand,alexander-mcqueen,FW2018,wool,0.2825,60,2018-04-05,,False
brand,alexander-mcqueen,FW2019,cashmere,0.011667,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,cotton,0.011667,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,denim,0.0,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,elastane,0.048333,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,leather,0.160833,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,linen,0.0,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,nylon,0.069167,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,other,0.006667,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,polyester,0.225,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,silk,0.015,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,technical,0.005833,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,viscose,0.135833,60,2019-04-05,,False
brand,alexander-mcqueen,FW2019,wool,0.31,60,2019-04-05,,False
brand,alexander-mcqueen,FW2020,cashmere,0.0,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,cotton,0.02,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,denim,0.008333,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,elastane,0.085,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,leather,0.101667,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,linen,0.0,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,nylon,0.065833,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,other,0.004167,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,polyester,0.205,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,silk,0.016667,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,technical,0.011667,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,viscose,0.235,60,2020-04-05,,False
brand,alexander-mcqueen,FW2020,wool,0.246667,60,2020-04-05,,False
brand,alexander-mcqueen,FW2021,cashmere,0.0,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,cotton,0.006667,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,denim,0.029167,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,elastane,0.06,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,leather,0.076667,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,linen,0.0,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,nylon,0.051667,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,other,0.009167,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,polyester,0.246667,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,silk,0.028333,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,technical,0.05,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,viscose,0.268333,60,2021-04-05,,False
brand,alexander-mcqueen,FW2021,wool,0.173333,60,2021-04-05,,False
brand,alexander-mcqueen,FW2022,cashmere,0.0,60,2022-04-05,,False
brand,alexander-mcqueen,FW2022,cotton,0.0,60,2022-04-05,,False
brand,alexander-mcqueen,FW2022,denim,0.0,60,2022-04-05,,False
brand,alexander-mcqueen,FW2022,elastane,0.059167,60,2022-04-05,,False
brand,alexander-mcqueen,FW2022,leather,0.1825,60,2022-04-05,,False
brand,alexander-mcqueen,FW2022,linen,0.0,60,2022-04-05,,False
brand,alexander-mcqueen,FW2022,nylon,0.093333,60,2022-04-05,,False
brand,alexander-mcqueen,FW2022,other,0.008333,60,2022-04-05,,False
brand,alexander-mcqueen,FW2022,polyester,0.235,60,2022-04-05,,False
