date,material,nowcast_z,direction,tickers
2017-02-01,cotton,1.4374,long,CT=F
2017-02-01,denim,-0.7358,flat,CT=F
2017-02-01,leather,0.9617,flat,LE=F
2017-02-01,nylon,0.6338,flat,3402.T;CL=F
2017-02-01,polyester,-2.0744,short,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-02-01,technical,4.7135,long,3402.T
2017-02-01,viscose,-1.6567,short,LNZ.VI
2017-03-01,cotton,-1.194,short,CT=F
2017-03-01,denim,0.4254,flat,CT=F
2017-03-01,leather,0.466,flat,LE=F
2017-03-01,nylon,-0.3691,flat,3402.T;CL=F
2017-03-01,polyester,-0.0884,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-03-01,technical,1.558,long,3402.T
2017-03-01,viscose,1.0042,long,LNZ.VI
2017-04-01,cotton,-0.2619,flat,CT=F
2017-04-01,denim,0.9596,flat,CT=F
2017-04-01,leather,-1.0993,short,LE=F
2017-04-01,nylon,-0.1663,flat,3402.T;CL=F
2017-04-01,polyester,-0.669,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-04-01,technical,-0.9463,flat,3402.T
2017-04-01,viscose,2.417,long,LNZ.VI
2017-05-01,cotton,0.1826,flat,CT=F
2017-05-01,denim,-0.2978,flat,CT=F
2017-05-01,leather,1.6336,long,LE=F
2017-05-01,nylon,-0.5891,flat,3402.T;CL=F
2017-05-01,polyester,-0.5125,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-05-01,technical,-0.5225,flat,3402.T
2017-05-01,viscose,3.0885,long,LNZ.VI
2017-06-01,cotton,-0.1272,flat,CT=F
2017-06-01,denim,0.2778,flat,CT=F
2017-06-01,leather,0.2536,flat,LE=F
2017-06-01,nylon,-0.2669,flat,3402.T;CL=F
2017-06-01,polyester,0.6395,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-06-01,technical,-0.3132,flat,3402.T
2017-06-01,viscose,0.2577,flat,LNZ.VI
2017-07-01,cotton,0.0432,flat,CT=F
2017-07-01,denim,-0.2647,flat,CT=F
2017-07-01,leather,0.5278,flat,LE=F
2017-07-01,nylon,-0.5986,flat,3402.T;CL=F
2017-07-01,polyester,-0.3312,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-07-01,technical,-0.7267,flat,3402.T
2017-07-01,viscose,0.7739,flat,LNZ.VI
2017-08-01,cotton,-0.852,flat,CT=F
2017-08-01,denim,-0.6088,flat,CT=F
2017-08-01,leather,0.6964,flat,LE=F
2017-08-01,nylon,-0.1955,flat,3402.T;CL=F
2017-08-01,polyester,0.1501,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-08-01,technical,-0.4262,flat,3402.T
2017-08-01,viscose,1.5204,long,LNZ.VI
2017-09-01,cotton,-0.6434,flat,CT=F
2017-09-01,denim,-1.0521,short,CT=F
2017-09-01,leather,0.7293,flat,LE=F
2017-09-01,nylon,-0.9598,flat,3402.T;CL=F
2017-09-01,polyester,-0.2367,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-09-01,technical,-0.3647,flat,3402.T
2017-09-01,viscose,1.6065,long,LNZ.VI
2017-10-01,cotton,-1.1662,short,CT=F
2017-10-01,denim,0.4492,flat,CT=F
2017-10-01,leather,-0.6838,flat,LE=F
2017-10-01,nylon,1.185,long,3402.T;CL=F
2017-10-01,polyester,1.6438,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-10-01,technical,0.3918,flat,3402.T
2017-10-01,viscose,-0.4454,flat,LNZ.VI
2017-11-01,cotton,-0.5839,flat,CT=F
2017-11-01,denim,-0.4347,flat,CT=F
2017-11-01,leather,-1.6383,short,LE=F
2017-11-01,nylon,1.469,long,3402.T;CL=F
2017-11-01,polyester,-0.1989,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-11-01,technical,-0.8047,flat,3402.T
2017-11-01,viscose,1.9561,long,LNZ.VI
2017-12-01,cotton,-1.9409,short,CT=F
2017-12-01,denim,0.5213,flat,CT=F
2017-12-01,leather,-0.4233,flat,LE=F
2017-12-01,nylon,2.8315,long,3402.T;CL=F
2017-12-01,polyester,1.6426,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-12-01,technical,-0.578,flat,3402.T
2017-12-01,viscose,-0.7825,flat,LNZ.VI
2018-01-01,cotton,-1.3412,short,CT=F
2018-01-01,denim,1.6996,long,CT=F
2018-01-01,leather,2.8905,long,LE=F
2018-01-01,nylon,0.8761,flat,3402.T;CL=F
2018-01-01,polyester,0.5277,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-01-01,technical,-0.3692,flat,3402.T
2018-01-01,viscose,-0.7959,flat,LNZ.VI
2018-02-01,cotton,-1.3412,short,CT=F
2018-02-01,denim,1.6996,long,CT=F
2018-02-01,leather,2.8905,long,LE=F
2018-02-01,nylon,0.8761,flat,3402.T;CL=F
2018-02-01,polyester,0.5277,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-02-01,technical,-0.3692,flat,3402.T
2018-02-01,viscose,-0.7959,flat,LNZ.VI
2018-03-01,cotton,-1.3412,short,CT=F
2018-03-01,denim,1.6996,long,CT=F
2018-03-01,leather,2.8905,long,LE=F
2018-03-01,nylon,0.8761,flat,3402.T;CL=F
2018-03-01,polyester,0.5277,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-03-01,technical,-0.3692,flat,3402.T
2018-03-01,viscose,-0.7959,flat,LNZ.VI
2018-04-01,cotton,-1.3412,short,CT=F
2018-04-01,denim,1.6996,long,CT=F
2018-04-01,leather,2.8905,long,LE=F
2018-04-01,nylon,0.8761,flat,3402.T;CL=F
2018-04-01,polyester,0.5277,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-04-01,technical,-0.3692,flat,3402.T
2018-04-01,viscose,-0.7959,flat,LNZ.VI
2018-05-01,cotton,-1.3412,short,CT=F
2018-05-01,denim,1.6996,long,CT=F
2018-05-01,leather,2.8905,long,LE=F
2018-05-01,nylon,0.8761,flat,3402.T;CL=F
2018-05-01,polyester,0.5277,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-05-01,technical,-0.3692,flat,3402.T
2018-05-01,viscose,-0.7959,flat,LNZ.VI
2018-06-01,cotton,-1.3412,short,CT=F
2018-06-01,denim,1.6996,long,CT=F
2018-06-01,leather,2.8905,long,LE=F
2018-06-01,nylon,0.8761,flat,3402.T;CL=F
2018-06-01,polyester,0.5277,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-06-01,technical,-0.3692,flat,3402.T
2018-06-01,viscose,-0.7959,flat,LNZ.VI
2018-07-01,cotton,1.2504,long,CT=F
2018-07-01,denim,-0.7549,flat,CT=F
2018-07-01,leather,0.6603,flat,LE=F
2018-07-01,nylon,-1.3764,short,3402.T;CL=F
2018-07-01,polyester,-0.7028,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-07-01,technical,-0.51,flat,3402.T
2018-07-01,viscose,-0.272,flat,LNZ.VI
2018-08-01,cotton,-0.2102,flat,CT=F
2018-08-01,denim,-2.1685,short,CT=F
2018-08-01,leather,-1.199,short,LE=F
2018-08-01,nylon,2.8319,long,3402.T;CL=F
2018-08-01,polyester,0.0581,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-08-01,technical,-0.3066,flat,3402.T
2018-08-01,viscose,-0.3297,flat,LNZ.VI
2018-09-01,cotton,1.4086,long,CT=F
2018-09-01,denim,-0.1789,flat,CT=F
2018-09-01,leather,-0.8645,flat,LE=F
2018-09-01,nylon,3.2359,long,3402.T;CL=F
2018-09-01,polyester,-0.405,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-09-01,technical,-0.9345,flat,3402.T
2018-09-01,viscose,-1.5114,short,LNZ.VI
2018-10-01,cotton,0.0184,flat,CT=F
2018-10-01,denim,-1.7436,short,CT=F
2018-10-01,leather,-0.4715,flat,LE=F
2018-10-01,nylon,1.7564,long,3402.T;CL=F
2018-10-01,polyester,0.7864,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-10-01,technical,0.15,flat,3402.T
2018-10-01,viscose,-1.8875,short,LNZ.VI
2018-11-01,cotton,-2.8881,short,CT=F
2018-11-01,denim,-0.2725,flat,CT=F
2018-11-01,leather,0.2304,flat,LE=F
2018-11-01,nylon,-0.3552,flat,3402.T;CL=F
2018-11-01,polyester,6.335,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-11-01,technical,1.6052,long,3402.T
2018-11-01,viscose,-0.0182,flat,LNZ.VI
2018-12-01,cotton,-2.8009,short,CT=F
2018-12-01,denim,-0.8015,flat,CT=F
2018-12-01,leather,1.0601,long,LE=F
2018-12-01,nylon,-0.1741,flat,3402.T;CL=F
2018-12-01,polyester,1.1211,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-12-01,technical,-0.0348,flat,3402.T
2018-12-01,viscose,2.5059,long,LNZ.VI
2019-01-01,cotton,-1.9434,short,CT=F
2019-01-01,denim,-0.7775,flat,CT=F
2019-01-01,leather,0.6576,flat,LE=F
2019-01-01,nylon,-0.4364,flat,3402.T;CL=F
2019-01-01,polyester,1.7377,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-01-01,technical,-0.23,flat,3402.T
2019-01-01,viscose,0.9623,flat,LNZ.VI
2019-02-01,cotton,-1.9434,short,CT=F
2019-02-01,denim,-0.7775,flat,CT=F
2019-02-01,leather,0.6576,flat,LE=F
2019-02-01,nylon,-0.4364,flat,3402.T;CL=F
2019-02-01,polyester,1.7377,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-02-01,technical,-0.23,flat,3402.T
2019-02-01,viscose,0.9623,flat,LNZ.VI
2019-03-01,cotton,-0.3511,flat,CT=F
2019-03-01,denim,-0.071,flat,CT=F
2019-03-01,leather,0.7623,flat,LE=F
2019-03-01,nylon,-0.8005,flat,3402.T;CL=F
2019-03-01,polyester,1.3153,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-03-01,technical,0.9927,flat,3402.T
2019-03-01,viscose,-0.406,flat,LNZ.VI
