retailer,month,n_items,n_comp
asos,2016-10,2,2
asos,2016-12,4,1
asos,2017-01,2,0
asos,2017-02,7,4
asos,2017-03,14,8
asos,2017-04,7,4
asos,2017-05,8,4
asos,2017-07,5,4
asos,2017-11,11,2
asos,2017-12,18,6
asos,2018-01,9,5
asos,2018-03,2,1
asos,2018-04,2,2
asos,2018-08,2,2
asos,2019-04,12,11
asos,2019-05,14,10
asos,2019-06,12,9
asos,2019-09,40,36
asos,2019-10,40,37
asos,2019-11,40,25
asos,2019-12,39,22
asos,2020-01,20,14
asos,2020-02,39,36
asos,2020-03,39,37
asos,2020-04,39,35
asos,2020-05,40,38
asos,2020-06,38,36
asos,2020-07,19,15
asos,2020-08,33,25
asos,2020-09,34,28
asos,2020-10,38,35
asos,2020-11,38,33
asos,2020-12,38,36
asos,2021-01,19,17
asos,2021-02,38,35
asos,2021-03,40,38
asos,2021-04,37,31
asos,2021-05,38,37
asos,2021-06,39,34
asos,2021-07,19,18
asos,2021-08,39,34
asos,2021-09,39,36
asos,2021-10,38,37
asos,2021-11,38,38
asos,2021-12,40,39
asos,2022-01,19,19
asos,2022-02,38,37
asos,2022-03,8,7
asos,2022-04,39,39
asos,2022-07,19,19
asos,2022-10,40,38
asos,2022-11,40,40
asos,2022-12,40,39
asos,2023-01,20,17
asos,2023-02,40,35
asos,2023-03,40,39
asos,2023-04,40,36
asos,2023-05,40,34
asos,2023-07,19,19
asos,2024-01,19,17
asos,2024-07,19,18
asos,2025-01,19,19
asos,2025-07,19,19
hm,2016-01,29,28
hm,2016-02,28,26
hm,2016-03,25,25
hm,2016-04,27,27
hm,2016-05,23,22
hm,2016-06,17,17
hm,2016-07,36,35
hm,2016-08,35,35
hm,2016-09,9,9
hm,2016-10,13,12
hm,2016-11,37,35
hm,2016-12,34,32
hm,2017-01,33,30
hm,2017-02,25,24
hm,2018-06,40,36
hm,2018-07,19,18
hm,2018-08,40,40
hm,2018-09,39,30
hm,2018-10,40,34
hm,2018-11,40,33
hm,2018-12,40,38
hm,2019-01,20,6
hm,2019-02,38,28
hm,2019-03,40,36
hm,2019-04,38,29
hm,2019-05,40,40
hm,2019-06,40,35
hm,2019-07,20,20
hm,2019-08,40,28
hm,2019-09,39,37
hm,2019-10,40,31
hm,2019-11,40,32
hm,2019-12,37,24
hm,2020-01,20,20
hm,2020-02,40,39
hm,2020-03,39,39
hm,2020-04,38,38
hm,2020-05,39,39
hm,2020-06,37,36
hm,2020-07,20,9
hm,2020-08,36,33
hm,2020-09,33,29
hm,2020-10,34,28
hm,2020-11,39,39
hm,2020-12,38,37
hm,2021-01,19,18
hm,2021-02,38,36
hm,2021-03,38,37
hm,2021-04,40,40
hm,2021-05,40,30
hm,2021-06,36,36
hm,2021-07,19,19
hm,2021-08,38,38
hm,2021-09,36,36
hm,2021-10,39,33
hm,2021-11,36,32
hm,2021-12,40,29
hm,2022-01,19,18
hm,2022-02,40,40
hm,2022-03,10,10
hm,2022-04,37,37
hm,2022-07,19,19
hm,2022-11,40,40
hm,2022-12,40,40
hm,2023-01,19,19
hm,2023-02,39,37
hm,2023-03,40,40
hm,2023-04,40,40
hm,2023-05,40,36
hm,2023-06,40,40
hm,2023-07,19,19
hm,2024-01,19,19
hm,2024-07,19,18
hm,2025-01,19,19
hm,2025-07,19,17
hm,2026-01,19,6
uniqlo,2016-10,2,2
uniqlo,2016-11,12,12
uniqlo,2016-12,37,36
uniqlo,2017-01,25,23
uniqlo,2017-02,25,25
zara,2016-03,37,0
zara,2016-04,38,0
zara,2016-05,27,0
zara,2016-06,38,0
zara,2016-07,18,0
zara,2016-08,38,0
zara,2016-09,24,0
zara,2016-11,5,0
zara,2016-12,11,0
zara,2017-01,16,0
zara,2017-02,11,0
zara,2017-03,8,0
zara,2017-05,2,0
zara,2017-06,7,0
zara,2017-07,9,0
zara,2017-12,14,0
zara,2019-03,12,0
