retailer,month,material,share,n_items,known_date,thin_sample
asos,2016-10,cashmere,0.0,2,2016-10-31,True
asos,2016-10,cotton,0.0,2,2016-10-31,True
asos,2016-10,denim,0.0,2,2016-10-31,True
asos,2016-10,elastane,0.0,2,2016-10-31,True
asos,2016-10,leather,0.0,2,2016-10-31,True
asos,2016-10,linen,0.0,2,2016-10-31,True
asos,2016-10,nylon,0.35,2,2016-10-31,True
asos,2016-10,other,0.4,2,2016-10-31,True
asos,2016-10,polyester,0.25,2,2016-10-31,True
asos,2016-10,silk,0.0,2,2016-10-31,True
asos,2016-10,technical,0.0,2,2016-10-31,True
asos,2016-10,viscose,0.0,2,2016-10-31,True
asos,2016-10,wool,0.0,2,2016-10-31,True
asos,2016-12,cashmere,0.0,1,2016-12-31,True
asos,2016-12,cotton,0.0,1,2016-12-31,True
asos,2016-12,denim,0.0,1,2016-12-31,True
asos,2016-12,elastane,0.0,1,2016-12-31,True
asos,2016-12,leather,0.0,1,2016-12-31,True
asos,2016-12,linen,0.0,1,2016-12-31,True
asos,2016-12,nylon,0.5,1,2016-12-31,True
asos,2016-12,other,0.0,1,2016-12-31,True
asos,2016-12,polyester,0.5,1,2016-12-31,True
asos,2016-12,silk,0.0,1,2016-12-31,True
asos,2016-12,technical,0.0,1,2016-12-31,True
asos,2016-12,viscose,0.0,1,2016-12-31,True
asos,2016-12,wool,0.0,1,2016-12-31,True
asos,2017-02,cashmere,0.0,4,2017-02-28,True
asos,2017-02,cotton,0.5,4,2017-02-28,True
asos,2017-02,denim,0.0,4,2017-02-28,True
asos,2017-02,elastane,0.02,4,2017-02-28,True
asos,2017-02,leather,0.0,4,2017-02-28,True
asos,2017-02,linen,0.0,4,2017-02-28,True
asos,2017-02,nylon,0.0,4,2017-02-28,True
asos,2017-02,other,0.0,4,2017-02-28,True
asos,2017-02,polyester,0.25,4,2017-02-28,True
asos,2017-02,silk,0.0,4,2017-02-28,True
asos,2017-02,technical,0.0,4,2017-02-28,True
asos,2017-02,viscose,0.23,4,2017-02-28,True
asos,2017-02,wool,0.0,4,2017-02-28,True
asos,2017-03,cashmere,0.0,8,2017-03-31,True
asos,2017-03,cotton,0.875,8,2017-03-31,True
asos,2017-03,denim,0.0,8,2017-03-31,True
asos,2017-03,elastane,0.0,8,2017-03-31,True
asos,2017-03,leather,0.0,8,2017-03-31,True
asos,2017-03,linen,0.0,8,2017-03-31,True
asos,2017-03,nylon,0.0,8,2017-03-31,True
asos,2017-03,other,0.0,8,2017-03-31,True
asos,2017-03,polyester,0.125,8,2017-03-31,True
asos,2017-03,silk,0.0,8,2017-03-31,True
asos,2017-03,technical,0.0,8,2017-03-31,True
asos,2017-03,viscose,0.0,8,2017-03-31,True
asos,2017-03,wool,0.0,8,2017-03-31,True
asos,2017-04,cashmere,0.0,4,2017-04-30,True
asos,2017-04,cotton,0.0,4,2017-04-30,True
asos,2017-04,denim,0.0,4,2017-04-30,True
asos,2017-04,elastane,0.028694,4,2017-04-30,True
asos,2017-04,leather,0.0,4,2017-04-30,True
asos,2017-04,linen,0.0,4,2017-04-30,True
asos,2017-04,nylon,0.123153,4,2017-04-30,True
asos,2017-04,other,0.25,4,2017-04-30,True
asos,2017-04,polyester,0.598153,4,2017-04-30,True
asos,2017-04,silk,0.0,4,2017-04-30,True
asos,2017-04,technical,0.0,4,2017-04-30,True
asos,2017-04,viscose,0.0,4,2017-04-30,True
asos,2017-04,wool,0.0,4,2017-04-30,True
asos,2017-05,cashmere,0.0,4,2017-05-31,True
asos,2017-05,cotton,0.25,4,2017-05-31,True
asos,2017-05,denim,0.245,4,2017-05-31,True
asos,2017-05,elastane,0.03,4,2017-05-31,True
asos,2017-05,leather,0.0,4,2017-05-31,True
asos,2017-05,linen,0.0,4,2017-05-31,True
asos,2017-05,nylon,0.35,4,2017-05-31,True
asos,2017-05,other,0.0,4,2017-05-31,True
asos,2017-05,polyester,0.125,4,2017-05-31,True
asos,2017-05,silk,0.0,4,2017-05-31,True
asos,2017-05,technical,0.0,4,2017-05-31,True
asos,2017-05,viscose,0.0,4,2017-05-31,True
asos,2017-05,wool,0.0,4,2017-05-31,True
asos,2017-06,cashmere,0.0,3,2017-06-30,True
asos,2017-06,cotton,0.666667,3,2017-06-30,True
asos,2017-06,denim,0.0,3,2017-06-30,True
asos,2017-06,elastane,0.0,3,2017-06-30,True
asos,2017-06,leather,0.0,3,2017-06-30,True
asos,2017-06,linen,0.0,3,2017-06-30,True
asos,2017-06,nylon,0.0,3,2017-06-30,True
asos,2017-06,other,0.333333,3,2017-06-30,True
asos,2017-06,polyester,0.0,3,2017-06-30,True
asos,2017-06,silk,0.0,3,2017-06-30,True
asos,2017-06,technical,0.0,3,2017-06-30,True
asos,2017-06,viscose,0.0,3,2017-06-30,True
asos,2017-06,wool,0.0,3,2017-06-30,True
